iter	RMSE
0	1.030232087
1	1.025346912
2	1.019615844
3	1.014427426
4	1.009392663
5	1.004851555
6	0.9997637657
7	0.9948550009
8	0.9895253712
9	0.9854685257
10	0.9802157175
11	0.9754120479
12	0.9702304363
13	0.9659915803
14	0.9618657353
15	0.9571858554
16	0.9529430733
17	0.9477567511
18	0.9439145684
19	0.9397085048
20	0.9353184381
21	0.9309563706
22	0.9267616286
23	0.9234305897
24	0.9196689603
25	0.915862984
26	0.9118811056
27	0.9079882561
28	0.9043609653
29	0.9001577038
30	0.896165835
31	0.8928500717
32	0.8896177807
33	0.8864873606
34	0.8829150853
35	0.8796274054
36	0.876627059
37	0.8736259746
38	0.8700815425
39	0.8665569258
40	0.8632267488
41	0.8598434794
42	0.8569234496
43	0.8539101334
44	0.8511838282
45	0.8483479696
46	0.8447650804
47	0.8416544981
48	0.83895468
49	0.8363993105
50	0.8333267949
51	0.8295098455
52	0.8266012648
53	0.8229479195
54	0.8190930483
55	0.8162833219
56	0.8138245149
57	0.8100207852
58	0.8077158244
59	0.8054348587
60	0.8024162368
61	0.7996828415
62	0.7973705699
63	0.7948995758
64	0.7913508999
65	0.7885985124
66	0.785937198
67	0.7823594359
68	0.7792028636
69	0.7764611004
70	0.7739479683
71	0.7713975709
72	0.769081594
73	0.7664973283
74	0.7632866211
75	0.7613378036
76	0.7592613607
77	0.7567193605
78	0.7545554225
79	0.7524985612
80	0.7503498683
81	0.7481930698
82	0.7460485786
83	0.7439791271
84	0.7418900549
85	0.739688214
86	0.7372801125
87	0.7358390922
88	0.7334348475
89	0.730443578
90	0.7282198257
91	0.7263360574
92	0.7241694851
93	0.7220518209
94	0.7196769182
95	0.7176657343
96	0.7161727638
97	0.7139781405
98	0.7121021697
99	0.7101247851
